-- Confusion Matrix -- 
20	7	0	0	0	|	27
2	115	12	0	0	|	129
0	2	107	3	0	|	112
0	0	22	20	0	|	42
0	0	1	2	1	|	4
------	------	------	------	------	|	------
22	124	142	25	1	|	314
#numberOfClasses 
#RegressionValues (if RegressionValues == 0 -> there aren't definitions of class, directly with @data)
#Class1 inittial
#Class2 inittial
#...
#ClassN inittial final 
5
1
9,000
13,700
23,100
32,500
41,900	46,600
@metrics
-- Classification metrics -- 
CCR:	0,838
Recall or Sensibility (S:) or True Positive Rate (TPR:): 
	RecallMin:(MS:)	0,250
	RecallMinIndex:	4
	RecallMacro-Media (MM):	0,663
	RecallClasses:	0,741	0,891	0,955	0,476	0,250	
Precision: 
	PrecisionMin:(MS:)	0,754
	PrecisionMinIndex:	2
	PrecisionMacro-Media:	0,878
	PrecisionClasses:	0,909	0,927	0,754	0,800	1,000	
F1-Score: 
	F1-ScoreMin:(MS:)	0,400
	F1-ScoreMinIndex:	4
	F1-ScoreMacro-Media:	0,713
	F1-ScoreClasses:	0,816	0,909	0,843	0,597	0,400	
Specificity (Sp) or True Negative Rate (TNR): 
	TNRMedia: 	0,951
	TNRClasses:	0,993	0,951	0,827	0,982	1,000	
False Positive Rate (FPR): 
	FPRMedia:	0,049
	FPRClasses:	0,007	0,049	0,173	0,018	0,000	
Kappa Cohen:	0,754
Area Under Curve ROC (AUC):
	AUCMedia:	0,807
	AUCClasses:	0,867	0,921	0,891	0,729	0,625	
-- Regression metrics -- 
MSE:	6,209
RMSE:	2,492
R-MAE:	1,525
-- Ordinal metrics -- 
O-MAE: 
	O-MAEAllClasses:	0,166
	O-AMAE:	0,387
	O-MMAE:	1,000
	O-MMAEIndex:	4
	O-mMAE:	0,045
	O-mMAEIndex:	2
	O-MAEClasses:	0,259	0,109	0,045	0,524	1,000	
Rs:	0,880
	numerador:	181,277
	denominador:	205,930
Taub:	0,869
	numerador:	55918,000
	denominador:	64376,326
OC_beta:	0,172
	beta:	0,000
myMetric:	0,898
@data (realValue	predictedValue	realClass	predictedClass
34,200	34,717	3	3
16,000	16,017	1	1
28,000	23,722	2	2
31,300	30,933	2	2
20,200	19,183	1	1
32,700	31,000	3	2
39,100	32,400	3	2
20,200	18,758	1	1
31,600	30,967	2	2
18,500	17,975	1	1
24,500	25,972	2	2
31,500	30,867	2	2
24,000	23,167	2	2
34,100	30,900	3	2
19,000	22,383	1	1
12,000	11,350	0	0
20,500	18,758	1	1
24,000	23,233	2	2
23,900	25,450	2	2
14,000	15,267	1	1
17,000	18,139	1	1
29,500	28,550	2	2
23,000	18,861	1	1
27,000	26,200	2	2
19,200	18,400	1	1
13,000	12,133	0	0
18,000	18,400	1	1
18,500	18,400	1	1
25,000	25,450	2	2
23,000	23,200	1	2
25,000	26,200	2	2
13,000	12,133	0	0
15,000	16,017	1	1
18,600	18,400	1	1
11,000	11,350	0	0
39,000	32,400	3	2
20,300	23,883	1	2
27,200	27,800	2	2
32,200	31,066	2	2
20,000	22,383	1	1
14,000	15,133	1	1
26,000	26,592	2	2
19,000	18,400	1	1
26,000	25,092	2	2
32,900	30,444	3	2
26,000	26,592	2	2
19,000	18,400	1	1
23,500	24,700	2	2
31,000	30,900	2	2
17,600	18,400	1	1
27,500	27,083	2	2
16,000	16,083	1	1
22,000	23,200	1	2
12,000	12,133	0	0
36,000	33,511	3	3
22,000	21,500	1	1
34,000	34,100	3	3
31,000	29,658	2	2
16,000	17,650	1	1
30,000	30,700	2	2
22,000	20,591	1	1
27,200	25,775	2	2
26,000	26,200	2	2
13,000	11,350	0	0
32,000	28,583	2	2
26,000	26,200	2	2
26,000	26,917	2	2
12,000	11,350	0	0
14,000	15,133	1	1
31,000	27,767	2	2
43,100	38,117	4	3
32,000	30,900	2	2
29,000	25,483	2	2
18,000	21,567	1	1
17,000	15,528	1	1
15,000	16,017	1	1
13,000	12,133	0	0
24,000	23,200	2	2
36,000	25,483	3	2
38,100	31,133	3	2
37,000	27,012	3	2
14,500	16,017	1	1
11,000	9,783	0	0
27,200	26,200	2	2
21,000	19,250	1	1
20,200	20,617	1	1
25,400	25,517	2	2
27,000	26,200	2	2
37,000	35,667	3	3
28,000	24,700	2	2
32,000	30,933	2	2
32,400	34,100	2	3
33,000	34,684	3	3
38,000	24,633	3	2
31,000	28,583	2	2
29,000	28,550	2	2
20,000	19,183	1	1
32,100	30,767	2	2
20,600	18,758	1	1
34,700	34,917	3	3
24,000	26,200	2	2
26,000	26,200	2	2
25,000	24,633	2	2
19,000	18,661	1	1
17,000	17,617	1	1
20,000	20,883	1	1
24,000	26,200	2	2
28,000	26,200	2	2
21,500	23,883	1	2
25,800	26,200	2	2
19,000	18,367	1	1
16,000	16,117	1	1
15,000	15,133	1	1
28,100	27,442	2	2
17,500	16,900	1	1
13,000	13,833	0	1
10,000	9,000	0	0
29,000	26,200	2	2
44,300	38,117	4	3
15,000	15,133	1	1
25,000	23,200	2	2
41,500	27,966	3	2
19,400	17,975	1	1
28,400	26,167	2	2
23,000	23,200	1	2
14,000	15,395	1	1
20,000	20,525	1	1
14,000	15,133	1	1
14,000	15,133	1	1
17,500	18,400	1	1
29,000	30,900	2	2
10,000	9,783	0	0
36,000	34,883	3	3
13,000	12,133	0	0
23,700	24,866	2	2
30,000	30,867	2	2
25,000	25,450	2	2
19,900	18,758	1	1
28,000	27,867	2	2
15,000	16,017	1	1
20,000	19,444	1	1
14,000	15,133	1	1
25,000	25,025	2	2
17,000	17,650	1	1
38,000	31,422	3	2
38,000	36,058	3	3
13,000	12,133	0	0
16,900	17,617	1	1
33,000	30,933	3	2
31,800	31,066	2	2
23,800	26,100	2	2
23,900	22,578	2	1
29,000	28,942	2	2
30,500	30,083	2	2
18,100	18,661	1	1
16,500	17,975	1	1
19,800	19,183	1	1
24,000	24,633	2	2
33,500	30,900	3	2
13,000	12,133	0	0
21,000	23,722	1	2
26,000	23,200	2	2
30,900	30,588	2	2
13,000	13,866	0	1
24,000	21,242	2	1
19,400	19,183	1	1
24,300	25,350	2	2
30,000	28,617	2	2
13,000	14,192	0	1
16,000	16,117	1	1
29,500	30,700	2	2
19,000	18,400	1	1
11,000	9,783	0	0
14,000	12,133	1	0
26,000	27,700	2	2
29,000	28,550	2	2
15,000	16,017	1	1
33,800	33,934	3	3
18,000	18,400	1	1
17,500	16,900	1	1
26,000	25,583	2	2
16,000	16,542	1	1
15,000	15,267	1	1
14,000	15,133	1	1
29,000	28,550	2	2
21,100	24,567	1	2
32,800	31,066	3	2
33,700	34,817	3	3
18,000	18,400	1	1
26,800	27,278	2	2
46,600	30,767	4	2
33,000	30,933	3	2
35,100	32,400	3	2
26,600	27,424	2	2
13,000	15,133	0	1
12,000	11,611	0	0
34,500	34,783	3	3
21,000	22,025	1	1
21,600	20,883	1	1
15,000	16,017	1	1
16,000	16,117	1	1
37,700	34,950	3	3
27,400	27,017	2	2
14,000	15,133	1	1
38,000	30,900	3	2
19,100	18,400	1	1
22,500	21,108	1	1
33,500	30,900	3	2
30,000	25,483	2	2
26,400	27,375	2	2
15,500	16,050	1	1
13,000	12,133	0	0
17,000	17,617	1	1
19,200	18,400	1	1
23,000	21,633	1	1
17,700	18,400	1	1
21,000	22,417	1	1
13,000	15,133	0	1
22,000	26,200	1	2
27,900	25,808	2	2
22,300	21,567	1	1
14,000	15,133	1	1
21,000	22,383	1	1
26,500	27,050	2	2
15,500	16,083	1	1
25,000	25,450	2	2
30,000	28,650	2	2
20,000	18,661	1	1
